"Action","Acción"
"DB","BD"
"Backups","Copias de seguridad"
"Create Backup","Crear copia de seguridad"
"Download","Descargar"
"File compressed with Zlib, but this extension is not installed on server","El archivo está comprimido con Zlib, pero esta extensión no está instalada en el servidor"
"Error write to Backup file ""%s""","Error al crear la copia de seguridad ""%s"""
"Time","Fecha"
"Backup file ""%s"" doesn't exist","La copia de seguridad ""%s"" no existe"
"Backup file ""%s"" can't read or write","La copia de seguridad ""%s"" no se puede leer o escribir"
"Backup file doesn't exist","La copia de seguridad no existe"
"Backup file handler don't specify","No se especifica el controlador para la copia de seguridad"
"Backup file path don't specify","No se ha especificado el directorio de la copia de seguridad"
"Unable to create backup. Please, try again later.","No se puede crear la copia de seguridad. Por favor, inténtelo más tarde."
"Cannot read backup file","No se puede leer la copia de seguridad"
"Wrong order of creation for new backup","Orden errónea para la creación de una nueva copia de seguridad"
"Database was successfuly backed up.","Se ha realizado la copia de seguridad de la base de datos."
"Size, byte","Tamaño, byte"
"Type","Tipo"
"All types","Todos los tipos"
