"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s fue agregado a la Wishlist. Presione <a href=""%2$s"">aquí</a> para continuar comprando"
"* Required Fields","* Campos Requeridos"
"Update Wishlist","Actualizar la Wishlist"
"Added On","Agregado"
"Add to Wishlist","Agregar a la lista de artículos de interés"
"Add to Cart","Agregar al carrito"
"Add All to Cart","Agregar todo al carrito"
"Are you sure you want to remove this product from your wishlist?","¿Está seguro de quitar este producto de su Wishlist?"
"Are you sure you would like to remove this item from the wishlist?","¿Está seguro que quiere eliminar este artículo de su lista de interés?"
"Are You sure?","¿Está seguro?"
"Comment","Comentario"
"Sharing Information","Compartiendo información"
"Wishlist Sharing","Compartiendo la Wishlist"
"Share Wishlist","Compartir la Wishlist"
"Share Your Wishlist","Compartir mi Wishlist"
"Share options","Compartir opciones"
"Email addresses, separated by commas","Direcciones de correo electrónico separadas por comas"
"RSS link to %s's wishlist","Enlace RSS a la Wishlist %s's"
"This product(s) is currently out of stock:","Este producto(s) se encuentra fuera de existencia actualmente:"
"RSS Feed","Feed RSS"
"Enabled","Habilitado"
"There was an error while adding item to wishlist.","Hubo un error al agregarse el artículo a la Wishlist."
"There was an error while adding item to wishlist: %s","Hubo un error al agregarse el artículo a la Wishlist: %s"
"There was an error while deleting item from wishlist.","Hubo un error al borrarse el artículo de la Wishlist."
"There was an error while deleting item from wishlist: %s","Hubo un error al borrarse el artículo de la Wishlist: %s"
"You input not valid email address.","Ingresó una dirección de correo electrónico inválida."
"Go to Wishlist","Ir a la Wishlist"
"Email address can't be empty.","La dirección de correo no puede estar vacía."
"Wishlist is empty now.","La Wishlist está ahora vacía."
"Wishlist","Wishlist"
"%s's Wishlist","Wishlist de %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque esta casilla si quiere agregar un enlace a un feed de RSS para su Wishlist."
"Message","Mensaje"
"My Wishlist","Mi Wishlist"
"My Wishlist (%d item)","Mi Wishlist (%d artículo)"
"My Wishlist (%d items)","Mi Wishlist (%d artículos)"
"Cannot create wishlist","No se puede crear la Wishlist"
"Cannot specify product","No se puede especificar el producto"
"Can't save description %s","No se puede guardar la descripción %s"
"You have no items in your wishlist.","No tiene artículos en su Wishlist."
"General Options","Opciones generales"
"Email Template","Plantilla de correo electrónico"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas separadas por comas. Por ejemplo juan@dominio.com, jose@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Product","Producto"
"Remove Item","Quitar el artículo"
"Email Sender","Remitente de correo electrónico"
"Your Wishlist was successfully shared","Su Wishlist fue compartida con éxito"
"Last Added Items","Ultimos artículos agregados"
"View Product","Ver el producto"
"Back","Volver atrás"
"Wishlist Section","Sección de Wishlist"
